,Description,Date,location_description,Latitude,Longitude,Pin code
83,"L
andslide incidence in Jammu & Kashmir 
-
 
18th May, 2010 
 
As per PTI report landslide on 18th May, 2010, triggered during widening of road stretch at Ragi 
Nallah, about 150 km from Jammu, on Batote
-
Kishtwar highway in Jammu and Kashmir's Doda 
district has l
ed to the closure of the highway for vehicular traffic. ",18-05-2010,"Doda, Doda District, Jammu and Kashmir, India",33.1774307,75.56752282,
84,"Landslide incidence in Ladakh, Jammu & Kashmir 
-
 
18th May, 2010 
 
As per PTI report two persons were killed in an avalanche
-
cum
-
landslide which occurred around 3.15 
PM on 18th May 2010 at a locat
ion two kms short of the 17350 ft Chang La top on Leh
-
Karu
-
Tangtse 
axis in Ladakh region of Jammu and Kashmir. The Indian Army rescued 73 other persons trapped 
due to the landslide. ",18-05-2010,.,0,0,
85,"Landslide incidence in Jammu & Kashmir 
-
 
17th May, 2010
 
 
As per PTI 
report traffic on the 434
-
km Srinagar
-
Leh national highway has been suspended after 
heavy landslides occurred on 17th May 2010, at Captain Mode, 100 km from Srinagar, and other 
places on the highway due to incessant rain in the Kashmir valley for the past 
one week. ",17-05-2010,.,0,0,
86,"Landslide incidence in Meghalaya 
-
 
12th May, 2010 
 
As per PTI report of 12th May 2010, landslides at Tongseng (Narpuh) and Sonapur on the National 
Highway No 44 in Jaintia Hills district, Meghalaya, triggered by 
heavy rains during the preceding 
two days have disrupted the traffic to Tripura, Mizoram and southern Assam. ",12-05-2010,.,0,0,
87,"Landslide Incidences in Jammu & Kashmir 
-
 
28th April, 2010 
 
As per PTI report of 28th April 2010 rains in the Kashmir valley caused landslide
s along the Srinagar
-
Leh national highway, killing a BRO labourer. ",28-04-2010,"Srinagar-Leh Highway, Buchpora, Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190020, India",34.1662341,74.8083924,190020
88,"Landslide incidence in Sikkim 
-
 
24th April, 2010 
 
As per media report a sudden downpour resulted in multiple landslides on 24th April, 2010 at many 
places along the Jawaharlal Nehru M
arg which resulted in disruption of road and telephone 
communications. More than 250 tourist vehicles and around 1,500 tourists including women and 
children stranded on the Jawaharlal Nehru Marg near Nathula were rescued by the Army. ",24-04-2010,.,0,0,
89,"Landslide incidence in Arunachal Pradesh 
-
 
21st April, 2010
 
 
",21-04-2010,.,0,0,
90,"3
 
| 
C
ompiled by 
GSI
 
 
As per PTI report at least 12 people have died in Arunachal Pradesh due to landslides triggered by 
heavy rains on 21st April 2010. Landslides have cut off road links at Lohit, Upper Siang, Diban
g Valley, 
Anjan and East Kameng districts. ",21-04-2010,.,0,0,
91,"Landslide incidence in Jammu & Kashmir 
-
 
20th April, 2010
 
 
As per media report incessant rains has caused landslides at many places on Srinagar
-
Ladakh 
highway on 20th April 2010. The highway was closed on 20
th April due to landslides at Zojilla. ",20-04-2010,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India",34.0747444,74.8204443,190008
92,"Landslide incidences in Assam 
-
 
2nd April, 2010
 
 
As per media report of 2nd April 2010 a landslide at the reserved forest village of Paglanala under 
Dholai block in the Cachar district, Assam has led to the deat
h of three children and serious injury 
to two persons. The landslide was preceded by torrential downpour 

 
around 26 inches 

 
over 
the past few days. ",01-04-2010,.,0,0,
93,"Landslide incidences in Arunachal Pradesh 
-
 
2nd April, 2010
 
 
As per media report at least seven pers
ons, including four children, were killed after torrential rains 
triggered landslides at Koloriang, the headquarters Kurung Kumey district in Arunachal Pradesh on 
the night of 2nd April 2010. Kurung Kumey, along with other parts of Arunachal, has been 
expe
riencing heavy showers for the past one week. ",01-04-2010,.,0,0,
94,"Landslide incidence in Manipur 
-
 
27th March, 2010
 
 
As per media report one house at LangthAbal Khoupum in Imphal has been completely damaged 
due to landslide triggered by sudden sporadic downpours accompa
nied by heavy storm, which 
struck late on Saturday the 27th March 2010. ",27-03-2010,.,0,0,
95,"Landslide incidence in Jammu and Kashmir 
-
 
3rd March, 2010
 
 
As per a media report the Jammu
-
Srinagar highway was closed to traffic on the morning of 3rd 
March 2010 following land
slides and shooting stones at Panthal stretch of the road in Ramban 
district, Jammu and Kashmir. ",03-03-2010,.,0,0,
96,"Landslide incidence in Jammu and Kashmir 
-
 
27th February, 2010
 
 
As per PTI report two pilgrims on way to Vaishno Devi cave shrine from Katra died 
in a landslide, 
triggered by rains, at Hathi Matha, in Reasi district, Jammu and Kashmir on 27th February, 2010. ",27-02-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
97,"Landslide incidence in Andhra Pradesh 
-
 
25th February, 2010
 
 
As per media report (The Hindu) in a major landslip that occurred in a grani
te quarry at Chimakurthi 
near Ongole, Prakasam District, Andhra Pradesh on Thursday the 25th February 2010 about 20 
workers were feared killed. The landslip occurred at about 7 p.m. when some 20 persons were 
working in the Hamsa granite quarry owned by the
 
Nutrine company of Chittoor. ",25-02-2010,"Ongole, Prakasam, Andhra Pradesh, India",15.5075545,80.06080047,
98,"Landslide incidence in Uttarakhand 
-
 
23rd February, 2010
 
 
As per media report (PTI) two children were killed and another injured when landslides triggered 
by heavy rains demolished a house at Tangadia village in Tehri di
strict, Uttarakhand on 23rd 
February 2010. ",23-02-2010,.,0,0,
99,"Landslide incidence in Jammu and Kashmir 
-
 
22nd February, 2010
 
 
As per media report one person was killed and 6 injured in a landslide incidence at Chairvani Village, 
Kangan Tehsil, Ganderbal District, Jammu
 
and Kashmir on 22nd February 2010. ",01-02-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
100,"Landslide incidence in Himachal Pradesh 14th February, 2010
 
 
As per media report (PTI) six persons were killed and 14 others injured in a landslide on the bank of 
river Satluj at Kachsthal village of Kinnaur distri
ct, 50 kms from Recong Peo, Himachal Pradesh on 
the morning of 14th of February, 2010. The mishap occurred near Karcham Wangto hydroelectricity 
project being carried by Jaypee group. ",14-02-2010,.,0,0,
101,"Landslide incidence in Jammu and Kashmir on 8th February, 2010
 
 
As 
per media report (PTI) one person was killed and six others were injured when five houses were 
damaged in landslides on 8th February 2010 in Narundi area of Uri sector of north Kashmir's 
Baramulla district. 
 ",08-02-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
102,"Lanslide incidence in Himachal Pradesh on 
8
-
9 February, 2010
 
 

country on 8th and 9th February 2010 due to massive landslides near Kalath on the Manali
-
Kullu 
highway (on NH
-
22) triggered by snow. Both t
he road stretches from Kullu 
-
 
one from the Naggar 
side and the second the main national highway 
-
 
have been blocked at various points. It started 
snowing in Manali around midnight after intermittent rain on 7th morning. So far, Manali and nearby 
areas hav
e received more than three feet of snow. 
 
 
",09-02-2010,"Manali, Kullu, Himachal Pradesh, 175131, India",32.2454608,77.1872926,175131
103,"4
 
| 
C
ompiled by 
GSI
 ",,.,0,0,
104,"Landslide incidence in Jammu and Kashmir 3rd January, 2010 
 
As per media report (PTI) landslides triggered due to heavy rains en route the cave shrine of 
Vaishnodevi in Trikuta hills of Reasi district, Jammu
 
& Kashmir on 3rd January, 2010 has left a pilgrim 
injured. 
 
 
Landslide Incidences for the Year 2009
 
 
 ",03-01-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
105,"Landslide incidence in Uttarakhand 

 
17th December 2010 
 
In Uttarakhand a landslide halted operations at the Tehri Dam on River Bhagirathi. The landslide 
also struck the under
-
construction 400
-
MW Koteshwar H
ydro Electric Project. ",17-12-2010,.,0,0,
106,"Landslide incidence in Arunachal Pradesh 

 
22nd November 2010 
 
The 330
-
year
-
old, Gaden Namgyal Lhatse Monastery in Tawang District, Arunachal Pradesh 
witnessed massive landslides. Some electric posts and plantation around the m
onastery were 
damaged. ",01-11-2010,.,0,0,
107,"Landslide incidence in Karnataka
-
 
08th November 2010 
 
One person died as boulders crashed into two coaches of the Mangalore
-
Mumbai Matsyagandha 
Express near Karwar, district Uttar Kanara, Karnataka in the 
evening of 8th November 2010. In that 
incident one person got seriously injured and 14 more were hurt. ",08-11-2010,.,0,0,
108,"Landslide incidence in Western Ghats 

 
27th October 2010 
 
As per media a minor landslide caused cracks in the ground near Neyyar Dam at the foot of
 
Western 
Ghats.One person died as boulders crashed into two coaches of the Mangalore
-
Mumbai 
Matsyagandha Express near Karwar, district Uttar Kanara, Karnataka in the evening of 8th 
November 2010. In that incident one person got seriously injured and 14 mor
e were hurt. ",27-10-2010,.,0,0,
109,"Landslide incidence in J&K
-
 
23rd October 2010 
 
An army captain, a Lance Naik and a Sepoy died in landslides, triggered in district Uri, J&K by heavy 
rains. These hampered traffic movement to Ladakh. ",23-10-2010,.,0,0,
110,"Landslide incidence in Himachal Pradesh
-
 
22nd October
 
 
As per the media, landslides have been reported near Rohtang Pass on the evening of 22nd 
October, 2010. A tourist from West Bengal, Debjani Chowdhury (51) from Hooghly collapsed and 
died because of co
ld while her husband helplessly looked on. Around 200 tourists from Bengal 
were tra
pped, according to an official.
On Saturday, rescuers evacuated roughly 500 tourists, who 
had been stranded for more than 30 hours at the treacherous Rohtang Pass and along 
the higher 
re
aches of the Leh 
-
 
Manali road.
More than 2,500 tourists were stranded at 12,500 feet after sudden 
snowfall closed the crucial Pass on 22
-
10
-
2010. Officials said the rescued tourists were safe and
 
had 
recovered after first aid.
Kolkata
-
residen
t Pernita Mukherjee, rescued on Saturday, said she was 
stranded along with a 17
-
member tourist group from West Bengal ",01-10-2010,"Manali-Leh highway Keylong Leh Road, Chara, Murtse Ibex Colony, Leh, Leh tehsil, Leh District, Ladakh, 0194101, India",34.1492251,77.5783181,
111,"Landslide incidence in Arunachal Pradesh
-
 
04th October 2010 
 
(this is the date of letter sent from LHIM & EPE Division, GSI, New Del
hi) Ten people were killed and 
about 300,000 displaced in flash floods and landslides triggered by heavy rains in Arunachal 
Pradesh.
 
Heavy rains triggered mudslides and flooding in at least three districts of Arunachal Pradesh, 
washing away bridges, huts a
nd school buildings, besides devastating agriculture crops. ""The 
devastation caused by the floods and landslides had been extensive with eight people already killed 
in incidents of house collapse due to landslides, besides snapping road links in many areas
.""
 
The casualties were reported early on Saturday in Mosing village in Upper Siang district (of 
Arunachal Pradesh) bordering China, where several houses got buried under mounds of earth. ",04-10-2010,.,0,0,
112,"Landslide incidence in Uttarakhand
-
19th September 
 
Landslides a
nd cloudburst triggered by incessant rain claimed 37 lives in Garhwal and Kumao
n 
regions during past two days.
Also over 5,000 tourists and pilgrims on Char Dham Yatra routes 

 
Rishikesh
-
Badrinath and Kedarnath, Rishikesh
-
Gangotri and Dehradun
-
Yamunotri 

 
were 
stranded. ",,"Dehradun, Uttarakhand, 248001, India",30.3255646,78.0436813,248001
113,"Landslide incidence in Uttarakhand
-
 
18th September 
 
In Dehradun district at least 11 people were killed and 14 others were trapped under debris as 
landslides triggered by heavy rains struck Uttarakhand destroying scores of houses in se
veral 
villages.
 
The worst
-
affected area was Avalbagh block of Almora district where several villages were hit by 
heavy landslides killing six people and trapping 14 others under the debris in two villages.
 
 
 
 
 
 
",,.,0,0,
114,"5
 
| 
C
ompiled by 
GSI
 
 
Five people were killed when their house was flatt
ened by heavy landslips at Pilkha village on 
Saturday afternoon and in nearby Devali village, a total of 15 persons were trapped under 
the debris 
of collapsed houses. 
The incessant rains also disrupted the annual Chardham pilgrimage with 
national highways 
and roads linking to them were hit by landslides at a number of places ",,.,0,0,
115,"Landslide incidence in Haryana
-
 
12th September 
 
Landslides on the Panchkula
-
Morni route following heavy rains and uprooting of trees, left around 
150 people on way to Haryana's on
ly hill station stranded. Two Haryana roadways buses, 20 cars 
and 15 motorcycles too were stuck there. According to the PWD department officials the affected 
roa
d stretch is about 7
-
8 km long. 
Heavy downpours caused massive landslides at numerous places 
ac
ross the state of Himachal Pradesh, uprooting trees, blocking roads and damaging crop. One 
person died in a house collapse incident in Nahan. Hundreds of vehicles were stranded at various 
places in the state due to blocked roads caused by landslides.
 
On 20
th August Heavy rains lashed Himachal Pradesh resulting in collapse of houses across the 
state and triggering a massive landslide on the Pathankot
-
Jogindernagar national highway. Link 
roads in interior areas of Kangra, Sirmaur, Mandi and Shimla were badly 
damaged following the 
downpour. ",01-08-2021,.,0,0,
116,"Landslide incidence in Assam
-
12th September
 
 
Two persons were killed and about 300,000 displaced in flash floods and landslides triggered by 
heavy rains in the districts of Lakhimpur, Dhemaji, Golaghat and 
Bongaigaon of Assam. ",,"Bongaigaon, Bongaigaon (Pt), Assam, 783380, India",26.4800126,90.5580387,783380
117,"Landslide incidence in Uttarakhand 
-
 
8th September 
 
A student died after he got buried under the debris as a landslide hit the road while he was going 
to school at Kotag
i area in Rudraprayag district. 
The 'Chardham Yatra' compris
ing pilgrimage to the 
four hilly shrines of Badrinath, Kedarnath, Yamunotri and Gangotri was halted as heavy rains 
triggered a series of landslides at a number of areas in Garhwal Himalayas. ",,.,0,0,
118,"Landslide incidence in Andhra Pradesh
-
 
1st September 2010 
 
As many as 10 houses suffered damages and one municipal primary school was razed to ground 
following landslides on 1st September. Several incidents of boulders falling on the households on
 
the hill slopes were reported. 
The landslides bulldozed at least fo
ur houses on the hill slope at 
Bramhanandareddy Nagar in Machavaram and three at Ghulam Mohiuddin Nagar and another 
three at Chittinagar area. The inmates escaped with minor injuries. A municipal primary school 
structure also collapsed in the incident. ",01-09-2010,"Nagar, Ahmednagar, Maharashtra, India",19.0436206,74.74267632,
119,"Landslide incidence in Uttarakhand
-
 
20th August 2010 
 
Incessant rains lashed the state of Uttarakhand triggering landslides. The Ganga and Yamuna Rivers 
and their tributaries were flowing above danger level in most of the areas. While Rishikesh
-
Gangotri
 
highway was blocked due to landslides at Bhatwari and Nalupani and Rishikesh
-
Badrinath at 
Lambagad, routes to Yamunotri pilgrimage area was disrupted at Ranachatti and Kedarnath at 
Gaurikund. ",20-08-2010,.,0,0,
120,"Landslide incidence in Uttarakhand
-
 
19th August 2010 
 
Kap
kot 
-
 
18 little children died and nearly 30 more trapped under the rubble of a school building, 
which collapsed in Bageshwar district on 18th August 2010 due to heavy landslides triggered by 
torrential rains. ",19-08-2010,.,0,0,
121,"Landslide incidence in Maharashtra
-
 
18th A
ugust 2010 
 
The Konkan railway route was severely affected as several trains were halted at various stations 
after a landslide near Ratnagiri. The traffic on this route was off the track for almost seven days ",,"Ratnagiri, Maharashtra, India",17.2826079,73.4569787,
122,"Landslide incidence in Uttarakhand 
-
 
9th 
August 2010 
 
As per media report landslides triggered by heavy rainfall on 9th August 2010 near Nirgaddu about 
4 km from Tapovan on Rishikesh 
-
 
Badrinath route blocked the highway for 6 hours. Landslides 
between Dharasu and Nalupani near Uttarkashi and at
 
Menagarh near Sukki on the same day 
blocked the Rishikesh 

 
Gangotri highway. ",01-08-2010,.,0,0,
123,"Landslide incidence in Mizoram 
-
 
6th August 2010 
 
As per media report landslides on 6th August 2010 at Mamit town about 200km from 
Aizawl, in 

",06-08-2010,"Aizawl, Tlangnuam, Aizwal, Mizoram, 796190, India",23.7435236,92.7382905,796190
124,"Landslide incidence in Mizoram 
-
 
6th August 2010
 
 
As
 
per PTI report a massive landslide triggered by heavy rains on 6th August 2010 at the cemetery 
of Dawrpui Vengthar locality, Aizwal has swept away number of tombs. ",06-08-2010,.,0,0,
125,"Landslide incidence in Jammu and Kashmir 
-
 
5th 
-
 
6th August 2010
 
 
",06-08-2010,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
126,"6
 
| 
C
ompiled by 
GSI
 
 
As per media report
 
flash floods and mudslides triggered by cloudburst at Leh, Ladakh on 5th 
-
 
6th 
August 2010, have flattened and submerged houses leading to the death of around 145 persons. 
Several villages along the Chang
-

-
highest motorable road
, were feared 

more as many are still missing, and several far
-
flung villages are yet to be accessed by rescue teams. ",01-08-2010,"Leh, Leh tehsil, Leh District, Ladakh, 0194101, India",34.1642029,77.5848133,
127,"Landslide incidence in West Ben
gal 
-
 
5th August 2010 
 
As per ANI report landslides triggered by heavy rains at Gayabari, Darjeeling distric, West Bengal 
on 5th August 2010 have disrupted the National Highway 55 and severely damaged the narrow 
gauge rail track. The landslides have upset
 
all road links from Siliguri to various other places in 
Darjeeling district such as the hill resort of Darjeeling, Kalimpong, Kurseong and Sukna. ",05-08-2010,.,0,0,
128,"Landslide incidence in Uttarakhand 
-
 
5th August 2010 
 
As per PTI report landslides triggered by torrent
ial rains occurred on 5th August 2010 in Basantpur 
village, Chamoli District, Uttarakhand. A house collapsed in the landslides killing five members of a 
family. ",05-08-2010,.,0,0,
129,"Landslide incidence in Himachal Pradesh 
-
 
4th August 2010
 
 
As per media report landslides
 
triggered by incessant rains on 4th August 2010 at Baralacha La and 
Rahni Nallah in Himachal Pradesh have blocked the Manali 

 
Leh highway. Landslides have 
obstructed several stretches of the highway, leaving thousands of passengers stranded. ",04-08-2010,"Manali-Leh, Tibetan Colony, Manali, Kullu, Himachal Pradesh, 175131, India",32.2580354,77.1880378,175131
130,"Landsli
de incidence in Uttarakhand 
-
 
31st July, 2010 
 
As per media report landslides at a number of places triggered by heavy rains on 31st July, 2010 
have disrupted traffic to Chardham tourist circuit comprising Badrinath, Kedarnath, Gangotri and 
Yamunotri shri
nes. ",31-07-2010,.,0,0,
131,"Landslide incidence in Himachal Pradesh 
-
 
31st July 2010
 
 
As per media report a massive landslide triggered by rains on on NH
-
22 near Taradevi, 12 km from 
Shimla, disrupted traffic on the highway. ",31-07-2010,"Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India",31.1041526,77.1709729,171001
132,"Landslide incidence in Maharashtra 
-
 
30th J
uly, 2010 
 
As per media report heavy rains in Konkan led to a massive landslide on 30th July, 2010 in the Amboli 
ghat in Sindhdurg, Maharashtra isolating the area from Kolhapur and Belgaum. As per media report 
a landslide triggered by rains occurred at Mi
limd Nagar slums in Ghatkopar area in suburban 
Mumbai on 31st July, 2010. The landslide buried half a dozen dwelling units. ",30-07-2010,"Hanuman Nagar Road, Sadashiv Nagar, Belagavi, Belagavi taluku, Belgaum district, Karnataka, 590001, India",15.8749695,74.4920808,590001
133,"Landslide incidence in Karnataka 
-
 
29th July 2010 
 
As per media report torrential rains on 29th July 2010 triggered a landslid
e at Shakthinagar, 
Mangalore. The landslide damaged a house and injured one person. As per media report a landslide 
triggered by rains on 1st August 2010 in Eliyarpadavu of Amblamogaru gram panchayat damaged a 
house completely. More than 30 houses develope
d cracks due to the landslip. ",29-07-2010,"Mangaluru, Mangaluru taluk, Dakshina Kannada, Karnataka, 575001, India",12.8698101,74.8430082,575001
134,"Landslide incidence in Manipur 
-
 
29th July, 2010
 
 
As per media report a landslide triggered by rains occurred on 29th July, 2010 on the National 
Highway 53 at Tupul area in Tamenglong district. The landslide 
disturbed the connection of 
Manipur with Silchar. ",29-07-2010,"Silchar, Cachar, India",24.8178611,92.75622075,
135,"Landslide incidence in Uttarakhand 
-
 
29th July, 2010
 
 
As per media report landslides, triggered by heavy rain, blocked two key highways connecting 
Rishikesh, Gangotri and Badrinath in Uttarakhand on 2
9th July, 2010, leaving hundreds of people 
stranded. The landslides occurred on the Rishikesh
-
Gangotri National Highway at Nalupani in 
Uttarkashi district and the Rishikesh
-
Badrinath National Highway at Chhinka in Chamoli district. ",29-07-2010,.,0,0,
136,"Landslide incidence
 
in Uttarakhand 
-
 
29th July, 2010
 
 
As per media report landslides, triggered by heavy rain, blocked two key highways connecting 
Rishikesh, Gangotri and Badrinath in Uttarakhand on 29th July, 2010, leaving hundreds of people 
stranded. The landslides occurr
ed on the Rishikesh
-
Gangotri National Highway at Nalupani in 
Uttarkashi district and the Rishikesh
-
Badrinath National Highway at Chhinka in Chamoli district. 
 
 ",29-07-2010,.,0,0,
137,"Landslide incidence in Manipur 
-
 
28th July, 2010 
 
As 
per media report a landslide on 28th July, 2010 near the 22 Assam Rifles camp at Maram, Manipur 
has cut off the Imphal
-
Mao section of the NH
-
39. The landslide was triggered by heavy rainfall in 
the preceding few days. ",28-07-2010,.,0,0,
138,"Landslide incidences in Himachal 
Pradesh 
-
 
25th July, 2010 
 
As per media report a number of houses collapsed in the landslides on 25th July, 2010 in Kanlog 
area in Shimla which was lashed by 72.3 mm overnight rains. Two labourers lost their lives and three 
people were injured in the land
slide as the boulders and debris fell on their hut. As per another 
",25-07-2010,"Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India",31.1041526,77.1709729,171001
139,"7
 
| 
C
ompiled by 
GSI
 
 
media report the Chamba 

 
Holi Road was blocked due to landslide at Kuther Nala on 25th July, 
2010. Landslides have also blocked roads in Dharamsala, Solan and Nahan.",,"Chamba, Darlaghat, Solan, Himachal Pradesh, India",31.26088525,76.93920739,
140,"Landslide incidenc
es in Jammu and Kashmir 
-
 
25th July 2010
 
 
As per media report landslides on 25th July 2010, triggered by heavy rains, near Panthal between 
Ramban and Ramsu has blocked the Jammu
-
Srinagar highway. The Amarnath pilgrims were 
stranded on the highway.",25-07-2010,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India",34.0747444,74.8204443,190008
141,"Lan
dslide incidences in Maharashtra 
-
 
22
-
24 July, 2010
 
 
As per media report heavy rains triggered a landslide at the New Mhada Colony near Nagari Nivara 
in Dindoshi, Malad (E), on 22nd July, 2010, rendering six families homeless. The landslide brought 
down a
 
portion of a row
-
house and mud has swamped six others in the same line, which are now 
on the verge of collapsing. As per media report a landslide on 24th July 2010 triggered by heavy 
rains has disrupted the railway track at Nivsar, Ratnagiri district on t
he Konkan Railway corridor 
between Ratnagiri and Adivali. Nearly 5,000 passengers were stranded in Ratnagiri district as 
Konkan Railway services collapsed. Nivsar received 220 mm of rain on 23rd July. As per the same 
report traffic on stretches of the Mumb
ai
-
Goa Highway and other arterial roads was also blocked 
due to landslides on 25th July.
 ",24-07-2010,"Ratnagiri, Maharashtra, India",17.2826079,73.4569787,
142,"Landslide incidences in Uttarakhand 
-
 
22nd July 2010
 
 
As per media report a landslide triggered by incessant rains on 22nd July 2010 on 
the Patlot
-
Aghora 
road, Almora District led to the death of one person.",01-07-2010,.,0,0,
143,"Landslide incidence in Sikkim 
-
 
14th July 2010
 
 
As per PTI report a landslide at Tingda in North Sikkim, about 60 km from the North Sikkim district 
headquarter town Mangan on 14th
 
July 2010 has blocked the Mangan
-
Gangtok Highway.",14-07-2010,.,0,0,
144,"Landslide incidence in Himachal Pradesh 
-
 
11th July 2010 
 
As per media report to a massive landslide near the Rani nullah on 11th July, 2010 has led to 
indefinite closure for traffic, of 13,050
-
ft hig
h Rohtang Pass, by the Border Roads Organisation 
(BRO). The traffic to Manali
-
Keylong and Leh and Pangi, Kaza and Spiti have come to a standstill.",11-07-2010,"Manali-Leh, Tibetan Colony, Manali, Kullu, Himachal Pradesh, 175131, India",32.2580354,77.1880378,175131
145,"Landslide incidence in Himachal Pradesh 
-
 
6th July 2010 
 
As per media report incessant rains have caused
 
landslide at Choling on 6th July 2010 disrupting 
traffic between Rampur and Reckong Peo. The incessant rains have also caused massive landslides 
in upper Shimla, hampering vehicular traffic. The National Highway 22 was also closed at various 
points in Kin
naur district due to landslides. Most major roads in Kinnaur have been closed for traffic. 
The highway at Wangtoo and Malling are the worst affected. The road connectivity between 
Kinnaur and Kaza in Lahaul and Spiti district has been hampered.",06-07-2010,.,0,0,
146,"Landsli
de Incidence in Uttarakhand 
-
 
4th July, 2010 
 
As per media report heavy monsoonal rains have triggered number of landslides on 4th July, 2010 
in Uttarakhand resulting in blocking of highways leading to Uttarkashi and Rudraprayag districts.",04-07-2010,.,0,0,
147,"Landslide i
ncidence in West Bengal 
-
 
3rd July 2010 
 
As per media report a landslide on the National Highway 55 on 3rd July 2010 severely damaged the 
narrow gauge train tracks. This has led to the suspension of the services of Darjeeling Himalayan 
Railway (DHR).
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
",03-07-2010,.,0,0,
148,"1
 
| 
C
ompiled by 
GSI
 
 
Landslide Incidences for the year 201
1
 
 ",,.,0,0,
149,"Landslide incidence in Jammu & Kashmir 

 
18th April 2011
 
 
As per media reports five members of a family were killed and one injured in a landslide triggered 
by heavy rains in Doda District, Jammu & Kashmir. ",18-04-2011,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
150,"Landslide incidence in West Bengal 

 
26
-
27th March 2011
 
 
Two people were killed and an equal number were injured in a landslide in Sevoke area of Kurseong, 
Darjeeling District, West Bengal. ",27-03-2011,"March, GVV March-Umkirch, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79232, Deutschland",48.0578573,7.7790038,
151,"Landslide incidence in Guwahati 

 
23rd March 2011
 
 
As per m
edia report five persons were buried alive and two seriously injured in a landslide in 
Kharguli area of Guwahati. ",23-03-2011,.,0,0,
152,"Landslide incidence in Himachal Pradesh 

 
26th February 

 
5th March 2011
 
 
The incessant snowfall and rain in Kullu District resulted in 
landslides and blockage of Kullu
-
Manali 
road and Chandigarh
-
 
Manali highway. It also caused collapse of terraced fields and a four storey 
building and uprooting of apple trees; the foundation wall of Shiva Temple in Bran village was also 
damaged. ",05-03-2011,.,0,0,
153,"Land
slide incidence in Jammu & Kashmir 

 
14th February 2011
 
 
As per media report the Jammu
-
Srinagar National Highway was closed for traffic after flash floods 
and heavy rains triggered landslides in Ramban District and damaged the highway. It resulted in 
stra
nding of over 1200 vehicles. ",14-02-2011,"Jammu, Jammu District, Jammu and Kashmir, 180001, India",32.7185614,74.8580917,180001
154,"Landslide incidence 

 
11th January 2011
 
 
As per media report a landslide took place in Altinho hill when its side was being cut. 
 
 
",11-01-2011,.,0,0,
155,,,.,0,0,
156,"Landslide at TNEB Colony, Emerald, Nilgiri District, Tamil Nadu (06th August, 2020)


A landslide (earth-flow) occurred near the TNEB colony, Emerald, Kundah Taluk, Nilgiri district, Tamil Nadu, after a spell of heavy rainfall of about 34.6 cm (for the period ending 24 hrs. on 7th August 2020). As a result, four houses were damaged due to the debris flow. However, many small-scale landslips were also recorded in the area. The slide (Lat: 11°19'14.94""N and Lon: 76°37'31.34""E) is a complex slide, which initiated as a cut slope failure and the subsequently leading to the earth flow. Ground cracks ranging from 5-10 cm were observed in the close vicinity of the slide, which also indicates chances of future reactivation, if untreated. Ground subsidence of about 1 m was observed in the slide zone. ",06-08-2020,.,0,0,
157,"Landslide at Talacauvery, Bhagamandala, Kodagu District, Karnataka (06th August, 2020)



The landslide in Talacauvery has occurred on 06th August, 2020 at at 02:30 am, on a day of heavy rain, near Talacauvery Temple on Brahmagiri hills near Bhagamandala in Kodagu district, Karnataka along the approach road to the temple. Talacauvery, the place from where Cauvery River originates is an important pilgrim and tourist centre. The area is situated 43.5 km east of Madikeri town. It is a reactivated slide and it was first initiated during the year 2007. The present slide got reactivated on 06th August, 2020 due to intense rainfall covering part of the old slide zone (2007). It can be inferred that the Talacauvery landslide underwent four episodes of events i.e. on the year 2007, 2018, 2019 and 2020. ",06-08-2020,"Madikeri, Madikeri taluku, Kodagu, Karnataka, 571201, India",12.42149,75.7387543,571201
158,"Landslide at Pettimudi, near Munnar, Idukki District, Kerala (06th August, 2020)



A landslide occurred at Pettimudi, near Munnar, Idukki district, Kerala on 06th August, 2020 around 22:30hrs, due to heavy and incessant rainfall. As a result, four housing lines of tea garden workers (layams) of Kannan Devan Hill Plantations (KDHP) situated at the foot slope area of Rajamala Hill ranges, got buried under debris (more than 80 people lived). There were 66 casualties reported. The landslide (Lat: 10°10'18.10""N and Lon: 77° 0'40.70""E) initiated as shallow planar at rock-overburden contact and the distressed material was directed through the topographic hollow scouring entire material from both the flanks and flow path. It is inferred that the failure must have occurred / initiated at the head of a steep gulley / streamlet. ",06-08-2020,"munnar, Devikulam, Idukki, Kerala, 685613, India",10.0678967,77.0670191,685613
