,State,District,Toposheet,Name of the slide,NH/SH Locality,Latitude,Longitude,Length,Width,Height,Area,Depth,Volume,Run out distance,Type of Material,Type of Movement,Rate of Movement,Activity,Distribution,Style,Failure Mechanism,History,Geomorphology,Structure,Land useLand cover,Hydrological condition,Triggering Factor ,Death of Persons,People Affected,Live-stock loss,Infrastructure,Agriculture/forest/Barren,Remarks,Description,Landslide category,Date,Address,"Latitude,Longitude",Pin code
23,Sikkim,East District,78A/11,"Upper Syari, Deorali, Gangtok","Near Butter fly Chowk, Syari, Deorali, Gangtok","27o
18’57’’N","88o
36’24’’E",80 m,150 m,60 m,"12X103
m2",2 m,24X103 m3,,Debris ,Bulging and slope failure,Slow,Active,,Single,Bulging and slope failure,"Date of initiation: 7
thAugust 2018,
subsequent reactivations 9th August 2018",Moderate to steep slope,NA (As the area is completely covered by heavy settlement).,Sparse trees and heavy settlement,Seasonal stream,"Excess load of the settlement.Excess rain water percolation,
creating hydrological pressure, resulting in the failure",,,,Cracks on the road and in the settlement,Sparse trees,,,,,,,
24,Sikkim,East District,78A/11,"1
st BN Sikkim Scouts and the road stretch (JNM axis) ahead
of MS-8",State Highway; near 8th Mile,"27o
22’13’’N","88o
40’25’’E",10-20m at different locations,"NA
",1-3 ft at different locations,,,,,Debris,Subsidence,Slow,Active,Advancing,Multiple,Subsidence,"Date of initiation: August 2018
subsequent reactivations ----","The affected area is a part of paleoslide with moderately
dissected having sparse to moderate vegetation cover",,Sparse to moderate vegetation,Flowing perennial stream,"The area is dissected by perennial streams. The downstream
direction is marked by steep escarpment. Excess rain water
percolated in the paleoslide zone, creating hydrological
pressure, resulting in the subsidence.",,,,Cracks in the wall of settlement,Sparse to moderate forest,Cracks appeared on the road and along the settlement. ,,,,,,
25,Manipur,Tengnoupal,83L/03,Lokchao Landslide,Lokchao village,24°19´31.6´´,94°13´57.3´´,23 m,20 m,18 m,,,,10 m,Rock,Slide,Rapid,Active,Retrogressive,Single,Shallow planar failure,"The landslide occurred on the 2
ndof August, 2018 blocking the NH-102,
Imphal-Moreh road. (Fig.4b)","The affected area is represented by steep to moderate slope, rugged
second order topography, alternate hill ridges and valleys. Landslide
occur in the eastern steep flank of the ridge with general trend NE-SW.","Eastern flank of NE-SW trending hill ridge. S0//J1: N16°W/44° SW,
Joint (J2): N80°E/84° SE and Joint (J3): N20°W/46° SE (Fig.2). The
widening of J3 is very prominent and it’s the weakest plane.","Moderate dense vegetated forest, sparse at places including just above
the crown and upslope of the affected area. A bridge is under
construction just below the road, the opposite side of the landslide site.",Wet,Rainfall,,,,,"The entire area is represented by moderate dense forest with shrubs,
bushes and bamboo and the upslope of the affected area is sparsely
vegetated.","Appropriate watershed management, landuse pattern and afforestation
are required","Landslide occurred at Lokchao Village of Tengnoupal District, Manipur",,,,,
26,Sikkim,North District,78A/11,Kabi Landslide,State Highway; 4 km before Kabi village,"27o
23’35’’N","88o
38’7’’E",70 m,60 m,60 m,420 m2,1-5 m,2100 m3,120 m,Rock,Slide,Extremely Rapid,Active,Advancing,Single,Shallow planar failure ,"Date of initiation: Mid-July 2018
subsequent reactivations (02/08/2018) ","Geomorphologically the affected area was moderately to highly
dissected with dense vegetation cover","Following trends have been identified in the rocks:
Failure plane N80W/70 →S10W
Foliation NS/32˚→ E
Joint Planes J1: N75E/70˚→SE (with Slickenside)
J2: N15W/65˚→SW
J3:N40E/72→NW",Dense Forest ,Flowing seasonal stream,"The area is dissected by numerous weak planes. These weak planes
have provided conduit to the rain water creating hydrological
pressure, resulting in the failure.",,,,,Dense forest,Road was blocked for about a week. ,,,,,,
27,Manipur,Kangpokpi,83G/16,Kalikhola Slide I (New Landslide),Kalikhola village,25°08’47.5”,93°56’30.2”,80 m,25 m,35 m,,,,45 m,Debris,Slide,Moderate,Active,Enlarging,Single,Shallow planar failure,"July, 2018","Represented by N-S trending alternate hill ridges and valley; West of
Kalikhola is represented by rugged topography with N-S trending
synclinal hill ridge and eastern part is represented by N-S trending
anticlinal valley showing a 2nd order topography; Landslide occured at
eastern steep flank of N-S trending hill ridge where a general break in
slope developed in between the synclinal hill ridge and anticlinal valley.","Eastern flank of N-S trending hill ridge showing dipping bed 25° - 30°
towards westerly.","Thickly to moderately vegetated forest with patches of jhum cultivation at
higher reaches.","Flowing during rainy season. Two streams i.e. south-south easterly
flowing Kali Lok (Nala) and its tributary which is southerly flowing
meets in the area and flows south easterly at downslope of the sliding
zone.",Incessant monsoon rainfall,,,,,"The area is represented by thick forest in the higher reaches with terrace
and jhum cultivation in patches. Topographic mid-slope portion is
represented by moderate to sparse vegetation and downslope is
characterized by sparse vegetation with terrace farming.","The entire Kalikhola is prone to landslide mainly because of inherent
geological, topographical and landuse pattern. Thus, an appropriate
watershed management and landuse management is urgently required. ","Landslide occurred at Kalikhola village of Kangpokpi District, Manipur
during July, 2018 resulted damage of village foot track and blocked a
nala (Kali Lok) at downslope with water logging forming a dam. The
area is represented by N-S trending alternate synclinal hill ridges and
anticlinal valley. The western part of the area is represented by rugged
topography whereas the eastern part by valley. Landslide occurred on
eastern steep flank of N-S trending hill ridge where a general break in
slope developed in between hill ridge and valley. The area is represented
by a contact zone in between the Upper Disang Formation of Disang
Group and Laisong Formation of Barail Group. Dark grey colour
Disang shale is overlain by buffed sandstone with siltstone and shale
parting of Laisong Formation of Barail Group. The main cause of the
slide is presence of topographic break in slope which slows down the
percolated water results to saturation of the debris material, and small
slide was initiated in the interface of the debris and underlying
impermeable layer with water as a lubricant.",II,,,,
28,Manipur,Tamenglong ,83H/09 ,New Salem Slide,New Salem (Along Tamenglong-Tamei State Highway),24°59’6.6” ,93°30’29.9”,5 m,8 m,4.5 m,,,,10 m,Soil,Slide,Rapid,Active,Widening,Single,Shallow planar failure ,"11th July, 2018 (Development of cracks during 2017) ","Rugged topography; Landslide occur at eastern steep flank of N-S trending
hill ridge near Tamenglong town.","Eastern flank of N-S trending hill ridge faulted along NNE-SSW trend
showing dipping bed towards 15° - 20° westerly. ","Tamenglong-Tamei state highway passes through settlement area.
2 houses at different levels (particularly in this slide area) ",Damp,Excessive rainfall,5,12,,2 nos. of house completely damaged.,Settlement area (near Tamenglong town). ,," A landslide occurred at New Salem village of Tamenglong District, Manipur
at the wee hours of 11th July, 2018. It resulted in loss of 5 lives along with
complete damage to their house. A total of 2 houses were completely
damaged in the incident. The area is represented by a rugged topography
with N-S trending hill ridges. The landslide occurs at the eastern flank of the
ridge. Highly weathered, friable, yellowish to brown colour, ferruginous
sandstone with siltstone and shale lithounits of Laisong formation of Barail
Group represents the general lithology of the area. Construction of house
near Tamenglong-Tamei State highway over the unconsolidated excavated
material dumped on the slope and construction of house at the downslope
portion of the unconsolidated dump material by cutting the toe are the main
causes of the failure. Saturation of unconsolidated dumped material by
incessant rainfall acted as a triggering factor for the slide. ",II,,,,
29,Nagaland,"Affected area is in both Phek and Kohima District. Sidzu
River defines the district boundary.",83K/02,Kikruma Landslide,"NH-29, on the west slope of North Kikruma",25⁰36’15.5”N,94⁰13’19.5”E,1200 m,600 m,470 m,"720,000 m2",6 m,"4,320,000 m3",,"Rock fragments, debris and soil",Slide,Rapid,Active,Retrogressive,Multiple,Deep translational failure,Reactivated on 29.07.2018,The slide falls on a moderately dissected slope of the hill.,"So: 032°/72°SE, i) J1=105°/46°→NE, ii)
J2=130°/16°→SW, iii) J3=70°/85°→NW.",Thick vegetation.,Wet,Rainfall,,,,,,,,,,,,
30,Manipur,Ukhrul,83L/01,New Heaven Slide,Old Imphal – Ukhrul road,24°59’34.4”,94°13’50.1”,45 m,12 m,40 m,,,,10 m,Rock,Slide,Moderate,Active,Enlarging,Single,Shallow planar failure,"Exact date of the occurrence of the slide is not known, however the
villagers narrated its occurrence during the first week of July, 2018","The area is represented by highly dissected, rugged, NNE-SSW trending
alternate synclinal hill ridges and anticlinal valleys showing a 2nd order
topography. Landslide occurs at western steep flank (hill slope of 60°
toward 230° at sliding zone) of NNE-SSW trending hill ridge.",Western flank of NNE-SSW trending hill ridge showing dipping bed 53°,"Eastern upslope portion of the sliding area is represented by thick to
moderate vegetation. However, the sliding zone is represented by
moderate to sparse vegetation.",Flowing,Excessive Rainfall,,,,,"Generally, the area is represented by forest of thick to moderate
vegetation. Terrace cultivations are observed at western flank of NE-SW
flowing Thoubal River.",,,II,,,,
31,Kerala,Idukki,58F/04,KallarVattiyar,NH – 49 (Kochi – Dhanushkodi Road),10.0372 N,77.0068 E,60 m,30 m,60 m,1800 m2,4 m,7200 m3,70 m,Rock-cum- debris,Flow,Very Rapid,Active,Advancing,Single,Shallow planar failure,"Date of initiation: 09th June, 2018"," Moderately Dissected Slope, Slide direction is towards S7°W",,Low Height Plantation (Cardamom),Flowing,Rainfall,,2,,"One house partially damaged, one culvert completely damaged.","Agriculture: Cardamom, mixed cultivation.","If immediate remedial measures not taken, the chances are very high
for reactivation.",,,,,,
32,Assam,Dima Hasao (N.C. Hills).,83C/16.,Bandarkhal landslide.,"Between NFR Bridge No. 305 and Tunnel No. 19 (~2 km SW of Bandarkhal
Railway Station)","25º 2' 52.2"" ","92º 47' 21.5""",25 m,21 m,18 m,525 m2,3 m,1575 m3,,Debris,Slide,Rapid,Active,Retrogressive,Single,Shallow translational,Initiated on 14.06.2018,"The area shows a rugged and youthful topography represented by high
ridges, moderately dissected hill-slopes and steep valleys. However, on a
local scale as observed in the field, the affected site can be defined as a
‘colluvial footslope’. The slope forming material on landslide hit foot-slope
is basically composed of transported materials brought down from the
upslope portion of the hill; comprising mostly of soil intermixed with small
and large fragments of sandstone.",S0: 163°/71°WSW (adjacent area),Rail/ Thick vegetation.,Damp,Rainfall,,Railway commuters were affected.,,Railway track,Forest,,,II,,,,
33,Manipur,Ukhrul,83 L/05,Landslide at 1.5 km South of Leiting Village,NH-102A.(Near Leiting Village),24.9252N ,94.3371E,70 m,55 m,60 m,3850 m2,6 m,23100 m3,,Debris,Slide,Moderate,Active,Enlarging,Multiple,Deep translational failure,Reactivated ,Escarpment,,Thick vegetation,Dripping,Rainfall,,,,,Forest,,,,,,,
34,Manipur,Noney,83 H/09,5 Km SSW of Kotlen Landslide (NH-37),"NH-37/ Imphal-Jiribam Highway/ 5Kms from Kotlen towards
Noney",24o 47’28.7”N,93 o 44’8.4”E,95 m,130 m,90 m,12350 m2,6 m,74100 m3,200 m,Debris,Slide,Rapid,Active,Advancing,Multiple,Deep translational failure,Initiated on 12.06.2018 and reactivated on 22.06.2018,The slide formed on a moderately dissected slope of the hill.,"S0=350°/47°→260°, J1=290°/76°→020°,J2=215°/62°→125°,
J3=060°/78°→150°",Sparse vegetation.,Dripping,Rainfall,,,,,,,,,,,,
35,Manipur,Noney.,83H13,Kotlen landslide,NH-37/Kotlen,"24° 46'54.10""N ","93°46'33.80""E",60 m,10 m,40 m,600 m2,2 m,1200 m3,20 m,Rock,Slide and fall,Very Rapid,Active,Retrogressive,Single,Shallow translational failure,Initiated on 06.06.2018.,Escarpment,"S0-335°/5°→245°, J1-0°/sub vertical, J2-290°/sub vertical, J3-
310°/sub-vertical",Extensive slope cut.,Wet,Rainfall,,,,Nh-37 blocked.,Forest.,Lying of mesh is very important.,,I,,,,
36,Mizoram,Lunglei,84 B/13,Lunglawn landslide,"LunglawnVeng, SE of Lunglei town.","22°
52´24.81″ N","920
45′ 21.43″ E",15 m,18 m,10 m,270 m2,3 m,510 m3,50 m,Debris,Slide,Rapid,Active,Retrogressive,Single,Shallow translational failure,"Slight movement due to earthquake was observed on the slope on the
left flank of the slide on 2014. The present landslide movement
happened on 06.06.2018 at 6:30pm.",Highly dissected slope.,"S₀-NNE-SSW, 40⁰→SE.",Thick vegetation,Wet,Rainfall,10,4,,"One pukka house destroyed by the debris. The houses at the crown
has severe damage to their foundation.",,"Though the slide is a small slide, due to the extremely rapid rate of
movement and the time at which it occurred i.e. 6:30 pm which is
dinner time for most families in Mizoram, it has taken the lives of 10
people.",,II,,,,
37,Kerala, Kozhikode,49 M/15,Karinchola mala slide,Punur – Kattipara road,11.4708,75.9213,260 m,60 m,130 m,15600 m2,3 m,46800 m3,360 m,Debris,Flow,Extremely rapid,Active,Confined,Complex,Shallow planar failure,14th June 2018 ,"Lowly dissected slope. Landslide occurred in the southern
flank of the Karinchola mala and slide flow is towards N
170º","Foliation dipping 80º towards N 100º. Joint planes : Dipping
56º towards N 100º, Dipping 30º towards N 155º (Valley
dipping), Dipping 85º towards N 60º, Dipping 32º towards N ",Mixed cultivation (Rubber and coconut),Wet,Heavy Rainfall,14,4,,5,,,,,,,,
38,Kerala,Malappuram,58A/03, Perakamanna,"West Chathalloor- Odanpara, Ernad Taluk",11.26246° N,76.11503° E,650 m,20 m,230 m,,3 m,,300 m,Debris,Flow,Very Rapid,Suspended,Confined,Complex,Shallow planar failure,"14th June, 2018 at 03:00 hrs.",: Moderately dissected slope,"J1(Foliation & parallel Joint): N80°E- S80°W / sub-vertical to
vertical dip, J2:N30ºW- S30°E/80º NE, J3:N15ºE- S15ºW/65ºSE,
J3:N20ºE – S20ºW/60ºNW","Rubber plantation. Area upslope of the scar at the source area is
forested",Flowing at toe area and damp at source area,Rainfall,,"Residents of 3 houses on the runout path were evacuated just before
the slide. Debris accumulated in the compounds of these houses.",,"2 dug wells filled up by the debris. Electric pole and lines were
damaged. ",Agriculture (High Height Plantation),,,,,,,
39,Nagaland,Tuensang,,Chessore landslide,Near Chesore/Y. Anner Village,26.11,94.76,65 m,25 m,52 m,1625 m2,3 m,4875 m3,35 m,Rock,Slide,Rapid,Reactivated,Enlarging,Successive,Shallow translational failure,Initiation: 2015 ,Moderately dissected slope.,"S0║J3-0°/45°→90°, J1-150°/60°→240°, J2-
220°/46°→310°, J4-30°/sub-vertical",Moderate vegetation.,Wet,Rainfall,0,0,0,0,Forest,,,II,,,,
40,Tripura,West Tripura,78 P/08,Birchandrapara landslide,"Subolsingh, Hezamara R.D. Block",24°00’12.3”,91°27’15.3”,20 m,25 m,15 m,,,,,Soil,Slide,Rapid,Active,Advancing & retrogressive,Multiple,Shallow planar failure,Initiation:18th May 2018,Low lying undulatory landforms,"Contact between Tipam Group with Bokabil Formation of the Surma Group
of rocks noted in nearby location with almost sub horizontal bedding plane
(6°)","High height plantation of rubber at upslope of the slide; banana plants at the
flank of the sliding portion; settlement and cultivation at the downslope part","Lokhicherra river along with a small irrigation canal flows in the valley
portion (plain).",Rainfall,3,1,,1 house completely damaged,"Paddy cultivation in the valley (plain) portion (not affected) surrounded by
hillocks.","i. Streams or gullies which form along the slope should be channelized to
avoid further seepage along the undisturbed slope.
ii. Several small failures are observed in the locality, therefore slope stability
studies may be carried out to understand the causative factor and to work out
the long term protection measures in this area.","A soil/earth slide at Birchandrapara, Subolsingh area, Hezamara block,
West Tripura district, Tripura on 18th May, 2018, resulted in the loss of 3
lives of a family leaving 1 injured and completely damaging their house. The
landslide with a dimension of about 25m in width and 20m in length was
triggered by incessant heavy rains. The loose and thick (>5m) nature of the
overburden (soil and highly weathered rock) without any toe support on
saturation by the incessant rainfall resulted in failure. The concavity of the
slope helped in retention of water within the unconsolidated material which
on crossing the inherent stability limit, slid downslope. In addition, the
presence of young rubber plantation and banana trees in the upslope part
caused load on the susceptible slope.",III,,,,
41,Meghalaya,East Jaintia Hills,83C/08,Sonapur 4km mile stone,NH-6,"25 ̊ 05'30.4""","92̊21'16.9""",15 m,25 m,12 m,375 m2,4 m,1500 m³,,Rock,Slide,Very fast,Active ,Enlarging ,Single,Shallow translational failure,07/05/2018(as per Shillong times),,Sandstone with siltstone and shale interbands,"Three set of joints plus random, J1-2600 / 500
–SW,
J2-3350 /590
–NE, 700 /780
–NW and 1000 /360
–NE",Densely vegetated/Major road (NH-6),Wet to Dripping,Incessant rainfall,,,,,,,,,,,
42,Manipur,Tamenglong,83H01,Makru Bridge Landslide,NH-37/ Imphal-Jiribam Highway/ Makru Bridge,24⁰ 48′ 47.9″N,93⁰ 14′ 36.3″E,40 m,17 m,25 m,680 m2,4 m,2720 m3,15 m,Debris,Slide,Moderate,Active,Retrogressive,Single,Shallow translational failure,Initiated on 03/05/2018,Colluvial Foot Slope,"S0=N20°E/46°W, J1=N20°E/46°→W, J2=N3°W/46°→E, J3=N85°E",Extensive slope cut,,Flowing,Rainfall,,,,,,,,,,,
43,Uttarakhand,Bageshwar,53N/16,Kuwari rock slide (very less debris),Kuwari village,30o05’ 01.1’’,79 48’ 02.9’’,100 m,150 m,111 m,15000 m 2,5 m,75000 m3,400 m,Rock,Slide,Moderate,Suspended,Retrogressive,Multiple,Shallow Rotational failure,2012-13,Highly Dissected,Highly Dissected,Forest,,Wet,,,,,,,,,,,,
44,Manipur,Tamenglong,83H01,Makru Bridge Landslide,NH-37/ Imphal-Jiribam Highway/ Makru Bridge,24⁰ 48′ 47.9″N,93⁰ 14′ 36.3″E,40 m,17 m,25 m,680 m2,4 m,2720 m3,15 m,Debris,Slide,Moderate,Active,Retrogressive,Single,Shallow translational failure,Initiated on 03/05/2018.,Colluvial Foot Slope,"S0=N20°E/46°W, J1=N20°E/46°→W, J2=N3°W/46°→E, J3=N85°E",,,Flowing,Rainfall,,,NH-37 affected,,,,,,,,
45,Sikkim,South Sikkim,No. 78A/08,"Gumpa Monastery, Upper Gurpisey","State Highway (Namchi-Damthang Road, South Sikkim)",27°10′20.02″ N,88°22′19.2″ E,20 m,8 m,10 m,160 m2,2 m,320 m3,30 m,Debris,Complex,Very Rapid,Active,Advancing,Single,Shallow rotational failure,20. 09. 2017 at 02:00hrs,"Denudational hills (palaeoslide character, slope is 45˚-50)","NA (covered with thick soil cover)
Failure plane: N50°E/40°SE",Moderately vegetated,,Wet,Rainfall,3,5,,,,,,,,,
46,Assam,Kamrup Metro,78 N/16,Anandapur-Gangapur slide,Hengrabari,"26°09'15.4""","91°47'33.5""",30 m,15 m,25 m,450 m2,3 m,1350 m3,3 m,Debris,Slide,Very Rapid,Active,Confined,Single,Shallow planar failure,"The slide occurred around 2:30 PM on 13th June, 2017.",Lowly dissected hill slope,,,,Damp,Rainfall,,6,,,,,,,,,
47,Meghalaya,RiBhoi,78O14,Tharia slide,Tharia village,"25o
39’48.4’’","910
54’57.4’’",50 m,15 m,35 m,750 m2,4 m,3000 m3,Nil,Debris ,Slide,Very rapid,Active,Widening,Single,Shallow translational,"On 17th June, 2017",,"Quartzite with minor Phyllite and quartz mica schist (underlying
bedrock).",,,Wet and Flowing,Heavy rainfall,5,,,"Hutments built on the downslope in the run out zone are completely
buried.",,,,,,,
48,Assam,Kamrup Metro ,78 N/16,Anandapur-Gangapur slide,Hengrabari,"26°09'15.4"" N","91°47'33.5"" E",30 m,15 m,25 m,450 m2,3 m,1350 m3,,Debris,Slide,Very Rapid,Active,Confined,Single,Shallow planar failure,"The slide occurred around 2:30 PM on 13th June, 2017.",Lowly dissected hill slope,,,,Damp,Rainfall,,6,,,,,,,,,
49,Kerala,Idukki,58F/04, KallarVattiyar,NH – 49 (Kochi – Dhanushkodi Road),10.0372 N,77.0068 E,60 m,30 m,60 m,1800 m2,4 m,7200 m3,70 m,Debris,Flow,Very Rapid,Active,Advancing,Single,Shallow planar failure," Date of initiation: 09th June, 2018","Moderately Dissected Slope, Slide direction is towards S7°W",,Low Height Plantation (Cardamom) ,,Flowing,Rainfall,,2,,,,,,,,,
50,Manipur.,Kangpokpi,83G16,Haijang landslide,Haijang village road to the east of Sirarakhong Baptist,"250
07′ 51.91″ N","930
58′ 19.75″ E",104 m,32 m,50 m,3320 m2,,,,Soil,Subsidence,Slow,Active,Retrogressive ,Single,Deep rotational movement,First week of July,Moderately dissected slope,,,Settlement,Water seepage noticed at the time of study,Incessant Rainfall,,40,,,,,,,,,
51,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"1
 
| 
C
ompiled by 
GSI
 
 
Landslide Incidences for the year 201
5
 
 
 
 
 ",,,.,.,
52,,,,,,31.6723392,76.95331690779145,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Himachal Pradesh 

 
7 December 2015
 
 
A rock fall occurred along national highway NH
-
 

district Mandi, Himachal Pradesh on 7/12/2015 at about 0830 hrs. The location wher
e the incident 
occurred has been demarcated as Rock fall zone with a caution sign board by the local authorities. 
The slope is a rocky escarpment exposing numerous potential unstable rockmass. The rock fall 
initiated on 5/12/2015 by minor movement in upslo
pe and gradually triggered on 7/12/2015 by 
development of open cracks with crashing sound, emission of dust along with shooting stones as 
observed by the locals. The rock fall zone is still active and reactivated on 8/12/2015 early hours 
around 0130am (loc
al police source) and on 9/2/2015. GSI has carried out the preliminary 
investigation of the landslide on 8/12/2015 and prepared detailed inventory. ",,2015-12-07,"Mandi, Himachal Pradesh, India","(31.6723392, 76.95331690779145)",
53,,,,,,32.7185614,74.8580917,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Jammu & Kashmir 

 
22 September 2015
 
 
As per media report , the Jammu Srinagar N
ational Highway was closed for vehicular traffic 
following massive landslides triggered by heavy rainfall. ",,2015-09-22,"Jammu, Jammu District, Jammu and Kashmir, 180001, India","(32.7185614, 74.8580917)",180001.0
54,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Mizoram 

 
27 August 2015
 
 
As per media report, heavy rains and landslides swept away three houses and damaged 
70 graves 
in two cemeteries in Aizawl Town of Mizoram. Heavy rainfall caused severe damage in different 
parts of the state as many district headquarters remained cut
-
off from Aizawl due to massive 
landslides on the roads. ",,2015-08-27,.,.,
55,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Himach
al Pradesh 

 
18 August 2015
 
 
A major landslide was reported at the famous Sikh shrine Gurdwara Manikaran Sahib in Himachal 
Pradesh. According to reports, at least ten people have died after boulders fell on the Gurdwara 
Manikaran Sahib building due to the
 
landslide. ",,2015-08-18,.,.,
56,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Manipur 

 
1 August 2015
 
 
As per media report, at least 20 people are feared dead after an entire section of the settlement of 
Joumol village was buried by a massive landslide and flood. ",,2015-08-01,.,.,
57,,,,,,34.07474439999999,74.82044429999999,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in J
ammu & Kashmir 

 
26 July 2015
 
 
As per media report, the Srinagar
-
Ladakh highway and the Baltak road for Amarnath pilgrims got 
washed away at many places leading to massive blockages after landslides were triggered by 
cloudbursts in Kashmir. ",,2015-07-26,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India","(34.0747444, 74.8204443)",190008.0
58,,,,,,31.1034086,77.175565,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Himachal Pradesh 

 
25 July 2015
 
 
As per media report, incessant rains have caused massive landslides on National Highways 21 and 
22 in Shimla, Kinnaur, Mandi and Kullu districts, hampering vehicular traffic. ",,2015-07-25,"Sabji Mandi, Navbhahar, Shimla, Shimla (urban), Shimla, Himachal Pradesh, 171001, India","(31.1034086, 77.175565)",171001.0
59,,,,,,18.9560691,72.840292,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence
 
in Maharashtra 

 
19 July 2015
 
 
A massive landslide (rock fall) occurred near Adoshi tunnel near to Lonavala on the Mumbai
-
 
Pune 
Expressway killing three people travelling in a car. ",,2015-07-19,"Pune Street, Wadi Bandar, B Ward, Zone 1, Mumbai, Mumbai City, Maharashtra, 400009, India","(18.9560691, 72.840292)",400009.0
60,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Darjeeling district 

15
-
16 July 2015
 
 
On 15 
July , a landslide occurred in 6 Mile area in Kalimpong and caused damage to a house to 
collapse and the road. On 16 July again a landslide occurred at 14 Mile area, due to incessant rains, 
and damaged a portion of National Highway 55 in Kurseong subdivisi
on of Darjeeling district. ",,2015-07-16,.,.,
61,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Darjeeling district 

 
1 July 2015
 
 
Over 40 people had died in the landslides in and around Mirik area of Darjeeling hills. GSI carried out 
details investigation of the landslide event. ",,2015-07-01,.,.,
62,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Maharashtra 

 
22 June 2015
 
 
As per media report, at least 12 people are feared to be buried in the debris after three houses 
collapsed following a landslide in Dabhol village of Maharashtra's Ratnagiri district. The landslide 
report
ed to have occurred at 03.30 AM. ",,2015-06-22,.,.,
63,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Arunachal Pradesh 

 
9 June 2015
 
 
As per media report, two people, including a minor girl, died while two others were seriously injured 
when their dwelling was hit by a landslide in Itanagar. ",,2015-06-09,.,.,
64,,,,,,32.7185614,74.8580917,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Jammu & Kashmir 

 
3 April 2015
 
 
",,2015-04-03,"Jammu, Jammu District, Jammu and Kashmir, 180001, India","(32.7185614, 74.8580917)",180001.0
65,,,,,,32.7185614,74.8580917,,,,,,,,,,,,,,,,,,,,,,,,,,,"2
 
| 
C
ompiled by 
GSI
 
 
As per media report, landslides triggered by overnight rains claimed two lives in Baramulla district 
while at least seven others were feared dead after a house collapsed in Doda district of Jammu an
d 
Kashmir. ",,,"Jammu, Jammu District, Jammu and Kashmir, 180001, India","(32.7185614, 74.8580917)",180001.0
66,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Assam 

 
20 February 2015
 
 
As per media report, two labourers died while land cutting of a hillock at Monachhera area and 
another was injured in a landslide in Assam's Hailakandi district. ",,2015-02-20,.,.,
67,,,,,,34.07474439999999,74.82044429999999,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in 
Jammu & Kashmir 

 
26 February 2015
 
 
As per media report, two people were killed while two others were seriously injured when the 
vehicle they were travelling in was hit by a landslide on the Jammu
-
 
Srinagar national highway. 
 
 
 
   
 
 
Landslide Incidences
 
For the Year 2014
 
 
 ",,2015-02-26,"Srinagar, Srinagar (South), Srinagar District, Jammu and Kashmir, 190008, India","(34.0747444, 74.8204443)",190008.0
68,,,,,,30.92589585,77.08200509063623,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Himachal Pradesh 

 
15 October 2014
 
 
As per media report, two people were killed in a mining landslide in Himachal Pradesh's Solan 
district. ",,2014-10-15,"Solan, Himachal Pradesh, India","(30.92589585, 77.08200509063624)",
69,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Meghalaya 

 
30 September 2014
 
 
As 
per media report, the Garo Hills region has witnessed flash floods and landslides which resulted 
in numerous casualties. ",,2014-09-30,.,.,
70,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Meghalaya 

 
23 September 2014
 
 
As per media report, eight persons including a pregnant woman were buried a
live under the debris 
after a massive landslide occurred in Mawbah under Mawprem area in Meghalaya's East Khasi Hills 
District. ",,2014-09-23,.,.,
71,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,"Landslide incidence in Himachal Pradesh 

 
26 August 2014
 
 
As per media report, two members of a family were killed and thr
ee others injured when boulders 
fell on their houses in village near Bhavanagar, Himachal Pradesh`s Kinnaur district. The rock fall 
was triggered due to rainfall. ",,2014-08-26,.,.,
